batch,diameter
B1,10.0047
B1,9.9995
B1,10.0236
B1,9.9982
B1,10.0089
B1,10.0007
B1,10.0083
B1,9.9987
B1,10.0202
B1,10.0075
B1,10.0015
B1,9.9898
B1,10.0056
B1,10.0202
B1,9.9826
B1,10.0096
B1,10.0007
B1,10.0054
B1,9.9935
B1,10.0005
B2,10.0237
B2,10.0044
B2,10.0028
B2,10.0294
B2,9.9956
B2,9.9849
B2,10.001
B2,10.011
B2,9.9828
B2,10.0087
B2,9.9839
B2,10.0033
B2,10.0223
B2,9.9941
B2,10.0124
B2,9.9889
B2,10.0167
B2,10.0127
B2,10.0071
B2,10.0326
B3,9.9954
B3,10.0015
B3,10.0149
B3,9.9724
B3,9.9974
B3,10.0153
B3,9.9882
B3,9.9949
B3,10.003
B3,10.0087
B3,10.0136
B3,10.0079
B3,9.9925
B3,10.005
B3,9.9832
B3,10.0219
B3,9.9881
B3,10.0087
B3,10.0074
B3,10.0072
B4,9.9951
B4,10.0275
B4,9.9948
B4,10.005
B4,9.9973
B4,10.0058
B4,9.9905
B4,9.9869
B4,9.9989
B4,10.0121
B4,9.9882
B4,10.0205
B4,10.0054
B4,10.0178
B4,9.9949
B4,9.9903
B4,10.0158
B4,10.0136
B4,10.0123
B4,10.0081
B5,10.0141
B5,10.0308
B5,9.9847
B5,10.0121
B5,10.0326
B5,10.0144
B5,9.9992
B5,10.0024
B5,10.0274
B5,9.9907
B5,10.0038
B5,10.0207
B5,10.0175
B5,9.9976
B5,10.0151
B5,10.0112
B5,9.9963
B5,10.0199
B5,10.0015
B5,9.9968
B6,9.985
B6,9.9926
B6,10.012
B6,10.0031
B6,10.0033
B6,10.0121
B6,10.0212
B6,10.0159
B6,10.0144
B6,9.9819
B6,9.9998
B6,9.9976
B6,10.0081
B6,10.0251
B6,9.9976
B6,9.9972
B6,9.9955
B6,9.9811
B6,10.0075
B6,10.0069
